reference_id, store, product_title, product_price
19, Aldi, Mixed Peppers, £1.79
20, Aldi, British Little Gem Lettuce 2 Pack, £0.77
21, Aldi, Cucumber, £0.79
22, Aldi, Greek Yoghurt 10% Fat, £1.99
23, Aldi, None, None
24, Aldi, None, None
25, Aldi, None, None
26, Aldi, Chickpeas, £0.45
27, Aldi, Manuka Honey, £4.15
28, Aldi, British Organic Eggs 6 Pack, £2.25
29, Aldi, Dark 85% Cocoa Chocolate, £2.49
30, Aldi, None, None
31, Aldi, Cashew Nuts, £1.69
32, Aldi, Californian Roasted Pistachios, £1.69
33, Aldi, Walnut Halves, £1.65
34, Aldi, None, None
35, Aldi, None, None
36, Aldi, Boneless Salmon Fillets 2 Pack, £3.59
37, Aldi, Boneless Mediterranean Sea Bass Fillets 2 Pack, £3.79
38, Aldi, Grated Mozzarella, £1.99
1, Morrisons, Morrisons Watermelon, £3.55
2, Morrisons, Morrisons Raspberries 150g Punnet, £2.15
3, Morrisons, Morrisons Blackberries 150g Punnet, £2.60
4, Morrisons, Fyffes Ready to Eat Pineapple, £0.98
5, Morrisons, Morrisons Royal Gala Apples   6 Pack, £1.89
6, Morrisons, Morrisons Oranges 5 Pack, £1.39
7, Morrisons, Morrisons Formosa Papaya Fruit, £4.50
8, Morrisons, Morrisons Broccoli  375g, £0.82
9, Morrisons, Morrisons Medium Cauliflower, £1.19
10, Morrisons, Morrisons Savers Green Beans, £0.77
11, Morrisons, Morrisons Spring Greens 500g, £0.90
12, Morrisons, Morrisons British Maris Piper Potatoes 2kg, £1.95
13, Morrisons, Morrisons Sweet Potatoes  1kg, £1.19
14, Morrisons, Morrisons British Carrots 1kg, £0.69
15, Morrisons, Morrisons Parsnips 500g, £0.74
16, Morrisons, Morrisons Purple Aubergine, £0.99
17, Morrisons, Morrisons Courgettes, £1.39
18, Morrisons, Morrisons British Brown Onions   1kg, £0.99
19, Morrisons, Morrisons Greengrocer Sweet Peppers 3 Pack (Colours May Vary), £2.10
20, Morrisons, Morrisons Little Gem Lettuce  2 Pack, £0.77
21, Morrisons, Morrisons Whole Cucumber, £0.99
22, Morrisons, Morrisons The Best Greek Yogurt 10% Fat 500g, £2.29
23, Morrisons, Arla LactoFREE Natural Yogurt, £1.25£1.85
24, Morrisons, Nestle Go Free Gluten Free Cornflakes Cereal 375g, £2.00£2.50
25, Morrisons, None, None
26, Morrisons, Morrisons Chickpeas In Water (400g), £0.45
27, Morrisons, Morrisons The Best Spanish Forest Honey, £4.35
28, Morrisons, Purely Organic 10 Mixed Size Eggs, £5.20
29, Morrisons, Lindt Excellence Dark 85% Cocoa Chocolate Bar 100g, £3.50
30, Morrisons, Morrisons Organic Semi-Skimmed Milk 1L, £1.55
31, Morrisons, Morrisons The Best Roasted Jumbo Cashews   150g, £2.75
32, Morrisons, None, None
33, Morrisons, Morrisons Walnut Pieces 150g, £2.00
34, Morrisons, Rummo Gluten Free Mezzi Rigatoni No.51 Pasta, £2.00£2.50
35, Morrisons, Morrisons Free From Spaghetti 500g, £0.96£1.20
36, Morrisons, Morrisons 2 Salmon Fillets 220g, £4.06
37, Morrisons, Morrisons 2 Sea Bass Fillets 180g, £5.50
38, Morrisons, Morrisons Grated Mozzarella 240g, £2.75
